model_id,country_id,iso3c,country_name,factor,loading
clean_controls,99,SWE,Sweden,factor_1,-0.17395442455750648
clean_controls,100,SWZ,Eswatini,factor_1,0.05547134118528723
clean_controls,101,SYR,Syria,factor_1,0.464130059560112
clean_controls,102,TGO,Togo,factor_1,0.11251474309103789
clean_controls,103,TTO,Trinidad & Tobago,factor_1,0.04305801453137849
clean_controls,104,TUN,Tunisia,factor_1,0.1637547582665913
clean_controls,105,TUR,Turkey,factor_1,-0.07322837692459427
clean_controls,106,UGA,Uganda,factor_1,0.24107146157421558
clean_controls,107,URY,Uruguay,factor_1,-0.10107538301217896
clean_controls,108,USA,United States,factor_1,-0.14820245346340669
clean_controls,109,VCT,St. Vincent & Grenadines,factor_1,0.004195307811375072
clean_controls,110,WSM,Samoa,factor_1,-0.18863882018015293
full_switching,1,AFG,Afghanistan,factor_1,0.17330103650439302
full_switching,2,AGO,Angola,factor_1,-0.016895960480480296
full_switching,3,ALB,Albania,factor_1,-0.16189819658129126
full_switching,4,AND,Andorra,factor_1,-0.1913476725638672
full_switching,5,ARE,United Arab Emirates,factor_1,0.1566324812563409
full_switching,6,ARG,Argentina,factor_1,-0.22181217081048688
full_switching,7,ARM,Armenia,factor_1,-0.16227840124870035
full_switching,8,ATG,Antigua & Barbuda,factor_1,0.008062266411927742
full_switching,9,AUS,Australia,factor_1,-0.08706892937629017
full_switching,10,AUT,Austria,factor_1,-0.2065553632347275
full_switching,11,AZE,Azerbaijan,factor_1,-0.026291468936232923
full_switching,12,BEN,Benin,factor_1,0.03573071805329008
full_switching,13,BFA,Burkina Faso,factor_1,0.06967405909698914
full_switching,14,BGD,Bangladesh,factor_1,0.20094106566465292
full_switching,15,BGR,Bulgaria,factor_1,-0.15818104232459917
full_switching,16,BHR,Bahrain,factor_1,0.13610016079725468
full_switching,17,BHS,Bahamas,factor_1,-0.09733487837780078
full_switching,18,BLR,Belarus,factor_1,-0.11319432414328488
full_switching,19,BLZ,Belize,factor_1,-0.044312954742477505
full_switching,20,BOL,Bolivia,factor_1,0.2569782457964898
full_switching,21,BRA,Brazil,factor_1,-0.08149999806361125
full_switching,22,BRB,Barbados,factor_1,-0.05782141998165013
full_switching,23,BRN,Brunei,factor_1,0.2279064765753534
full_switching,24,BTN,Bhutan,factor_1,-0.004829043253038871
full_switching,25,BWA,Botswana,factor_1,-0.039187621864958576
full_switching,26,CAN,Canada,factor_1,-0.07164081549116964
full_switching,27,CHL,Chile,factor_1,-0.1277198819279473
full_switching,28,CIV,Côte d’Ivoire,factor_1,-0.03900941473529685
full_switching,29,CMR,Cameroon,factor_1,-0.01341664713569222
full_switching,30,COG,Congo - Brazzaville,factor_1,0.06242177399927613
full_switching,31,COL,Colombia,factor_1,-0.03731079719772132
full_switching,32,COM,Comoros,factor_1,0.2011590206827438
full_switching,33,CPV,Cape Verde,factor_1,-0.011098062980564387
full_switching,34,CRI,Costa Rica,factor_1,-0.14653131487016413
full_switching,35,CUB,Cuba,factor_1,0.3224415277812309
full_switching,36,CYP,Cyprus,factor_1,-0.13891846048905504
full_switching,37,CZE,Czechia,factor_1,-0.10889457984253635
full_switching,38,DEU,Germany,factor_1,-0.13364399447827818
full_switching,39,DJI,Djibouti,factor_1,0.14708640839983816
full_switching,40,DMA,Dominica,factor_1,0.0011737495479692
full_switching,41,DNK,Denmark,factor_1,-0.13379041634778
full_switching,42,DOM,Dominican Republic,factor_1,-0.1127689498462873
full_switching,43,DZA,Algeria,factor_1,0.3099910307679504
full_switching,44,ECU,Ecuador,factor_1,0.034373828750477044
full_switching,45,EGY,Egypt,factor_1,0.2600812425225522
full_switching,46,ERI,Eritrea,factor_1,0.06132433231130067
full_switching,47,ESP,Spain,factor_1,-0.1274545721167906
full_switching,48,EST,Estonia,factor_1,-0.12236381929715665
full_switching,49,ETH,Ethiopia,factor_1,0.0038434353948388626
full_switching,50,FIN,Finland,factor_1,-0.18501678012885434
full_switching,51,FJI,Fiji,factor_1,-0.10530915137508681
full_switching,52,FRA,France,factor_1,-0.14109854197518132
