fit_id,treated_iso3c,iso3c,country_name,complete_common_panel,ever_china_top,focal_country,sample_role,fit_role
aus_cue_2009,AUS,AGO,Angola,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,ARM,Armenia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,BEN,Benin,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,BFA,Burkina Faso,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,BRA,Brazil,TRUE,TRUE,TRUE,focal_treated_country,excluded_ever_china_top_in_window
aus_cue_2009,AUS,CHL,Chile,TRUE,TRUE,TRUE,focal_treated_country,excluded_ever_china_top_in_window
aus_cue_2009,AUS,CMR,Cameroon,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,COG,Congo - Brazzaville,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,CUB,Cuba,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,ERI,Eritrea,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,ETH,Ethiopia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,GAB,Gabon,TRUE,TRUE,TRUE,focal_treated_country,excluded_ever_china_top_in_window
aus_cue_2009,AUS,GHA,Ghana,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,GIN,Guinea,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,GMB,Gambia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,GNQ,Equatorial Guinea,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,IDN,Indonesia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,IRN,Iran,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,JPN,Japan,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,KAZ,Kazakhstan,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,KOR,South Korea,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,KWT,Kuwait,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,LAO,Laos,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,MLI,Mali,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,MLT,Malta,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,MMR,Myanmar (Burma),TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,MNG,Mongolia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,MOZ,Mozambique,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,MYS,Malaysia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,NZL,New Zealand,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,OMN,Oman,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,PAN,Panama,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,PER,Peru,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,PHL,Philippines,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,PNG,Papua New Guinea,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,PRK,North Korea,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,QAT,Qatar,TRUE,TRUE,TRUE,focal_treated_country,excluded_ever_china_top_in_window
aus_cue_2009,AUS,RUS,Russia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,SAU,Saudi Arabia,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,SDN,Sudan,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,SLB,Solomon Islands,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,SLE,Sierra Leone,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,TCD,Chad,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,THA,Thailand,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,TKM,Turkmenistan,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,TZA,Tanzania,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,UKR,Ukraine,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
aus_cue_2009,AUS,URY,Uruguay,TRUE,TRUE,TRUE,focal_treated_country,excluded_ever_china_top_in_window
aus_cue_2009,AUS,VNM,Vietnam,TRUE,TRUE,FALSE,excluded_ever_china_top,excluded_ever_china_top_in_window
