fit_id,year,time_weight
chl_cue_2008,1997,0
chl_cue_2008,1998,0.37414251967745094
chl_cue_2008,1999,0.01535177710228752
chl_cue_2008,2000,0
chl_cue_2008,2001,0
chl_cue_2008,2002,0
chl_cue_2008,2003,0
chl_cue_2008,2004,0.16914825832774255
chl_cue_2008,2005,0
chl_cue_2008,2006,0.052212036405328004
chl_cue_2008,2007,0.389145408487191
ury_cue_2013,1997,0
ury_cue_2013,1998,0.41017676448078727
ury_cue_2013,1999,0
ury_cue_2013,2000,0
ury_cue_2013,2001,0
ury_cue_2013,2002,0
ury_cue_2013,2003,0
ury_cue_2013,2004,0
ury_cue_2013,2005,0
ury_cue_2013,2006,0
ury_cue_2013,2007,0
ury_cue_2013,2008,0
ury_cue_2013,2009,0.27916156193878966
ury_cue_2013,2010,0
ury_cue_2013,2011,0.0774728410432204
ury_cue_2013,2012,0.23318883253720268
gab_cue_2017,1997,0.0049670086270297495
gab_cue_2017,1998,0.02867472801937162
gab_cue_2017,1999,0.020055894902212643
gab_cue_2017,2000,0
gab_cue_2017,2001,0
gab_cue_2017,2002,0
gab_cue_2017,2003,0.051356046357038526
gab_cue_2017,2004,0.023248283071050292
gab_cue_2017,2005,0
gab_cue_2017,2006,0.012773412979895092
gab_cue_2017,2007,0
gab_cue_2017,2008,0
gab_cue_2017,2009,0.02467755900954703
gab_cue_2017,2010,0.013962691504004539
gab_cue_2017,2011,0.03532553578957299
gab_cue_2017,2012,0.07363645651167164
gab_cue_2017,2013,0
gab_cue_2017,2014,0.16207229739101492
gab_cue_2017,2015,0.11184856015685345
gab_cue_2017,2016,0.4374015256807381
qat_cue_2021,1997,0.07200722716720102
qat_cue_2021,1998,0
qat_cue_2021,1999,0.0408159801278376
qat_cue_2021,2000,0
qat_cue_2021,2001,0
qat_cue_2021,2002,0
qat_cue_2021,2003,0.017794111360826696
qat_cue_2021,2004,0
qat_cue_2021,2005,0
qat_cue_2021,2006,0
qat_cue_2021,2007,0
qat_cue_2021,2008,0
qat_cue_2021,2009,0
qat_cue_2021,2010,0.08286792258335304
qat_cue_2021,2011,0.07445566446276528
qat_cue_2021,2012,0
qat_cue_2021,2013,0
qat_cue_2021,2014,0.005038135418578559
qat_cue_2021,2015,0.0793711564531239
qat_cue_2021,2016,0
qat_cue_2021,2017,0.11448208762174017
qat_cue_2021,2018,0
qat_cue_2021,2019,0.13858138205697942
qat_cue_2021,2020,0.37458633274759434
aus_cue_2009,1997,0
aus_cue_2009,1998,0.31935148657498186
aus_cue_2009,1999,0.07873752916988443
aus_cue_2009,2000,0
aus_cue_2009,2001,0
aus_cue_2009,2002,0
aus_cue_2009,2003,0
aus_cue_2009,2004,0.13321639752443357
aus_cue_2009,2005,0
aus_cue_2009,2006,0.03803910764966735
aus_cue_2009,2007,0.06730148596060236
aus_cue_2009,2008,0.36335399312042954
aus_top1_2010,1997,0
aus_top1_2010,1998,0.2608136879869205
aus_top1_2010,1999,0.062183845239760525
aus_top1_2010,2000,0
aus_top1_2010,2001,0
aus_top1_2010,2002,0
aus_top1_2010,2003,0
aus_top1_2010,2004,0.12245181684982064
aus_top1_2010,2005,0
aus_top1_2010,2006,0.053829326464809986
aus_top1_2010,2007,0.012457463347136346
aus_top1_2010,2008,0
aus_top1_2010,2009,0.48826386011155154
