model_id,country_id,iso3c,country_name,focal_country,cue_group,observed_model_periods,masked_model_periods,eligible_control_periods,treated_periods,included_by_fect,ever_treated_in_model
clean_controls,67,LKA,Sri Lanka,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,68,LSO,Lesotho,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,69,LTU,Lithuania,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,70,LVA,Latvia,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,71,MAR,Morocco,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,72,MDA,Moldova,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,73,MDG,Madagascar,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,74,MDV,Maldives,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,75,MEX,Mexico,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,76,MHL,Marshall Islands,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,77,MKD,North Macedonia,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,78,MUS,Mauritius,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,79,MWI,Malawi,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,80,NAM,Namibia,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,81,NGA,Nigeria,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,82,NIC,Nicaragua,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,83,NLD,Netherlands,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,84,NOR,Norway,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,85,NPL,Nepal,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,86,PAK,Pakistan,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,87,POL,Poland,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,88,PRT,Portugal,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,89,PRY,Paraguay,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,91,ROU,Romania,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,92,RWA,Rwanda,FALSE,other_countries,26,0,26,0,TRUE,FALSE
clean_controls,93,SEN,Senegal,FALSE,other_countries,26,0,26,0,TRUE,FALSE
