model_id,estimand_group,switch_type,event_time,count,estimate,se,ci_95_low,ci_95_high
clean_controls,all_treated_episodes,switch_on_att,-23,1,-0.28087323686716853,0.08786500732226227,-0.4530854867201507,-0.10866098701418639
clean_controls,all_treated_episodes,switch_on_att,-22,1,0.11143075174784284,0.04628598126744096,0.020711895474562966,0.2021496080211227
clean_controls,all_treated_episodes,switch_on_att,-21,1,-0.0365767957034282,0.026212983935852308,-0.0879533001450257,0.014799708738169305
clean_controls,all_treated_episodes,switch_on_att,-20,1,0.15044919862905498,0.026832376812365468,0.09785870645721101,0.20303969080089895
clean_controls,all_treated_episodes,switch_on_att,-19,2,0.09080064401951696,0.14972679270517286,-0.20265847720331628,0.38425976524235017
clean_controls,all_treated_episodes,switch_on_att,-18,2,0.24233205466697955,0.08853025508181842,0.0688159431644714,0.4158481661694877
clean_controls,all_treated_episodes,switch_on_att,-17,2,0.024481787620054804,0.04029652919873026,-0.054497958311423164,0.10346153355153277
clean_controls,all_treated_episodes,switch_on_att,-16,2,-0.09597462854249919,0.05491949723950137,-0.20361486518096877,0.011665608095970378
clean_controls,all_treated_episodes,switch_on_att,-15,3,-0.04371861656273597,0.06350215672478576,-0.16818055668393403,0.08074332355846209
clean_controls,all_treated_episodes,switch_on_att,-14,3,-0.15464531609776125,0.08006529803803156,-0.3115704166637685,0.002279784468246032
clean_controls,all_treated_episodes,switch_on_att,-13,3,0.037621236010624254,0.08605575598297098,-0.1310449463783661,0.20628741839961462
clean_controls,all_treated_episodes,switch_on_att,-12,3,0.08641281845297785,0.06280119962536843,-0.03667527099865457,0.2095009079046103
clean_controls,all_treated_episodes,switch_on_att,-11,4,-0.043329748260474865,0.10406042549229895,-0.24728443444129447,0.16062493792034474
clean_controls,all_treated_episodes,switch_on_att,-10,5,-0.1025410278554836,0.06952680079648363,-0.23881105337688224,0.03372899766591504
clean_controls,all_treated_episodes,switch_on_att,-9,5,-0.08864187928871443,0.05889986171866824,-0.2040834869516936,0.02679972837426474
clean_controls,all_treated_episodes,switch_on_att,-8,5,-0.023064595758644203,0.07128596912051652,-0.16278252783789096,0.11665333632060257
clean_controls,all_treated_episodes,switch_on_att,-7,5,-0.04465196101491381,0.037755780793432905,-0.1186519315782314,0.029348009548403775
clean_controls,all_treated_episodes,switch_on_att,-6,5,0.006345910589996839,0.05187453702335052,-0.09532631369045978,0.10801813487045346
clean_controls,all_treated_episodes,switch_on_att,-5,5,0.010861171444492742,0.03947772237789522,-0.06651374260785282,0.0882360854968383
clean_controls,all_treated_episodes,switch_on_att,-4,5,0.10442560875542736,0.0871800947782015,-0.06644423717863598,0.2752954546894907
clean_controls,all_treated_episodes,switch_on_att,-3,5,0.00650056570882418,0.08408451748305942,-0.15830206021540077,0.17130319163304913
clean_controls,all_treated_episodes,switch_on_att,-2,5,0.1335206033930193,0.10212443789593863,-0.06663961682441782,0.3336808236104564
clean_controls,all_treated_episodes,switch_on_att,-1,5,0.005774358453616063,0.060864545898221725,-0.11351795944228356,0.12506667634951568
clean_controls,all_treated_episodes,switch_on_att,0,5,-0.030338199106229615,0.08754872703428618,-0.20193055098575866,0.14125415277329942
clean_controls,all_treated_episodes,switch_on_att,1,5,-0.07407360125424554,0.07615689467045297,-0.2233383719827437,0.07519116947425263
clean_controls,all_treated_episodes,switch_on_att,2,5,0.022309865592421506,0.07722665104526673,-0.12905158910294376,0.17367132028778678
clean_controls,all_treated_episodes,switch_on_att,3,4,0.09837581602577929,0.058689768741564306,-0.016654016968671373,0.21340564902022996
clean_controls,all_treated_episodes,switch_on_att,4,4,-0.024066570059904896,0.09330633578291984,-0.20694362772382865,0.15881048760401886
clean_controls,all_treated_episodes,switch_on_att,5,4,-0.05756489530962368,0.09255909714591395,-0.23897739215715907,0.12384760153791173
clean_controls,all_treated_episodes,switch_on_att,6,4,-0.003450744698363012,0.11130986462573783,-0.2216140704888381,0.21471258109211208
clean_controls,all_treated_episodes,switch_on_att,7,3,-0.20321251737250906,0.12046921214634777,-0.4393278344252659,0.03290279968024776
clean_controls,all_treated_episodes,switch_on_att,8,3,-0.026292822173952225,0.11510676027093773,-0.25189792668207606,0.19931228233417161
clean_controls,all_treated_episodes,switch_on_att,9,3,-0.08693065483800554,0.1103654530969491,-0.3032429680454703,0.12938165836945925
clean_controls,all_treated_episodes,switch_on_att,10,3,-8.718790434219849e-4,0.15520042665084147,-0.3050591256643216,0.30331536757747757
clean_controls,all_treated_episodes,switch_on_att,11,2,0.046932503754037486,0.12086228823527617,-0.18995322827620284,0.2838182357842778
clean_controls,all_treated_episodes,switch_on_att,12,2,-0.011946200847655575,0.15190494153916503,-0.3096744153380814,0.2857820136427702
clean_controls,all_treated_episodes,switch_on_att,13,2,-0.014157776233298697,0.14174783900140592,-0.2919784355624363,0.26366288309583885
clean_controls,all_treated_episodes,switch_on_att,14,2,-5.193442613181803e-4,0.11064691397158366,-0.21738331064612382,0.21634462212348748
clean_controls,all_treated_episodes,switch_on_att,15,1,0.00712677978124443,0.03457238717317159,-0.060633853937746396,0.07488741350023526
full_switching,all_treated_episodes,switch_on_att,-23,1,-0.26964185021320985,0.05694515223658941,-0.3812522976910756,-0.15803140273534413
full_switching,all_treated_episodes,switch_on_att,-22,1,0.08525409583411403,0.04125800585864721,0.004389890277222974,0.16611830139100509
full_switching,all_treated_episodes,switch_on_att,-21,1,-0.062112490018387145,0.029077210826796755,-0.1191027760097869,-0.00512220402698739
full_switching,all_treated_episodes,switch_on_att,-20,1,0.1734333180720154,0.026388671125877373,0.12171247306542371,0.22515416307860708
full_switching,all_treated_episodes,switch_on_att,-19,2,0.09120787590883983,0.14474727050242894,-0.19249156113639776,0.3749073129540774
full_switching,all_treated_episodes,switch_on_att,-18,2,0.2399101878875399,0.0927039662977932,0.0582137527198503,0.4216066230552295
full_switching,all_treated_episodes,switch_on_att,-17,2,0.03104093278589358,0.047246397936592695,-0.0615603055690756,0.12364217114086276
full_switching,all_treated_episodes,switch_on_att,-16,2,-0.08519730671764497,0.05084375610557615,-0.18484923752331267,0.014454624088022741
full_switching,all_treated_episodes,switch_on_att,-15,3,-0.04089253825091853,0.05755646064292531,-0.15370112818864917,0.07191605168681213
full_switching,all_treated_episodes,switch_on_att,-14,3,-0.14537429419837125,0.07531157268555327,-0.2929822642811261,0.0022336758843836124
full_switching,all_treated_episodes,switch_on_att,-13,3,0.02752182588704834,0.07384657458615829,-0.11721480068347272,0.1722584524575694
full_switching,all_treated_episodes,switch_on_att,-12,3,0.07915648527006969,0.056452929482409396,-0.0314892233372321,0.18980219387737146
full_switching,all_treated_episodes,switch_on_att,-11,4,-0.04523018764636316,0.10099281248146504,-0.24317246280744184,0.15271208751471552
full_switching,all_treated_episodes,switch_on_att,-10,5,-0.0980155734194903,0.06397978628618754,-0.22341365027898752,0.027382503440006922
full_switching,all_treated_episodes,switch_on_att,-9,5,-0.08825815522073435,0.05678201291158599,-0.1995488554971312,0.02303254505566249
full_switching,all_treated_episodes,switch_on_att,-8,5,-0.021907276528739396,0.06986689553987947,-0.15884387549852527,0.1150293224410465
full_switching,all_treated_episodes,switch_on_att,-7,5,-0.037784062337698154,0.035750030827741655,-0.10785283520626844,0.03228471053087213
full_switching,all_treated_episodes,switch_on_att,-6,5,0.006443789013903994,0.055481481846366906,-0.10229791721388794,0.11518549524169593
full_switching,all_treated_episodes,switch_on_att,-5,5,0.008330860114947445,0.03961130648102834,-0.0693058739684461,0.085967594198341
full_switching,all_treated_episodes,switch_on_att,-4,5,0.10319699557670943,0.0838711417121857,-0.061187421521429544,0.2675814126748484
full_switching,all_treated_episodes,switch_on_att,-3,5,0.005825849175685072,0.08409648418446167,-0.15900023105230202,0.17065192940367216
full_switching,all_treated_episodes,switch_on_att,-2,5,0.12609578550410588,0.10069632461350186,-0.0712653841139119,0.3234569551221237
full_switching,all_treated_episodes,switch_on_att,-1,5,0.008199610448718364,0.05894942227864784,-0.10733913412687447,0.1237383550243112
full_switching,all_treated_episodes,switch_on_att,0,5,-0.026423361448364623,0.0870699876880149,-0.1970774014512197,0.14423067855449045
full_switching,all_treated_episodes,switch_on_att,1,5,-0.06362395175780904,0.07286603673836974,-0.20643875946118612,0.07919085594556803
full_switching,all_treated_episodes,switch_on_att,2,5,0.0203282901481166,0.07532262772793194,-0.12730134741954802,0.16795792771578122
full_switching,all_treated_episodes,switch_on_att,3,4,0.09768735844122325,0.05819105650263066,-0.016365016526268122,0.21173973340871463
full_switching,all_treated_episodes,switch_on_att,4,4,-0.030024470278227244,0.08894106052874026,-0.2043457456613551,0.14429680510490062
full_switching,all_treated_episodes,switch_on_att,5,4,-0.05295225590894472,0.07540070147815922,-0.2007349152151928,0.09483040339730334
full_switching,all_treated_episodes,switch_on_att,6,4,-0.007234420489145271,0.10590705983092873,-0.21480844346629419,0.20033960248800364
full_switching,all_treated_episodes,switch_on_att,7,3,-0.19929832820049356,0.08367829621734633,-0.3633047750741666,-0.03529188132682054
full_switching,all_treated_episodes,switch_on_att,8,3,-0.014063750959892811,0.08227379733508301,-0.17531743060800295,0.14718992868821731
full_switching,all_treated_episodes,switch_on_att,9,3,-0.08066373358628932,0.0717750170317628,-0.22134018195829336,0.060012714785714696
full_switching,all_treated_episodes,switch_on_att,10,3,0.0017779718692202406,0.14648270119938486,-0.2853228468397162,0.2888787905781567
full_switching,all_treated_episodes,switch_on_att,11,2,0.055498186452753784,0.09625689784558931,-0.13316186658815235,0.24415823949365992
full_switching,all_treated_episodes,switch_on_att,12,2,-0.008783332004281469,0.1413500670255348,-0.2858243725866523,0.2682577085780894
full_switching,all_treated_episodes,switch_on_att,13,2,-0.004616941842372629,0.10774694269345149,-0.2157970689658386,0.20656318528109335
full_switching,all_treated_episodes,switch_on_att,14,2,-0.004863825041961603,0.10624567300727869,-0.21310151764944718,0.20337386756552395
full_switching,all_treated_episodes,switch_on_att,15,1,-0.01001931814158774,0.03337463549301253,-0.07543240170504448,0.055393765421868996
