fit_id,iso3c,treatment_year,year,post_treatment,observed_outcome,synthetic_outcome,level_adjusted_synthetic_outcome,raw_gap,level_adjusted_gap
aus_cue_2007,AUS,2007,1997,FALSE,2.143462,1.1784750775092012,2.227390258700805,0.9649869224907988,-0.083928258700805
aus_cue_2007,AUS,2007,1998,FALSE,1.4418071000000001,0.5737331573948286,1.6226483385864323,0.8680739426051716,-0.1808412385864322
aus_cue_2007,AUS,2007,1999,FALSE,1.5891584,0.6670945957420067,1.7160097769336105,0.9220638042579934,-0.12685137693361037
aus_cue_2007,AUS,2007,2000,FALSE,1.6577371,0.7716121271619344,1.820527308353538,0.8861249728380657,-0.16279020835353797
aus_cue_2007,AUS,2007,2001,FALSE,1.6478793,0.7087291443157953,1.757644325507399,0.9391501556842048,-0.10976502550739897
aus_cue_2007,AUS,2007,2002,FALSE,1.7369596,0.7333637144907594,1.7822788956823632,1.0035958855092406,-0.04531929568236315
aus_cue_2007,AUS,2007,2003,FALSE,2.2060312,1.0960468683183906,2.1449620495099944,1.1099843316816094,0.06106915049000561
aus_cue_2007,AUS,2007,2004,FALSE,2.289749,1.0921935833601657,2.1411087645517695,1.1975554166398343,0.14864023544823057
aus_cue_2007,AUS,2007,2005,FALSE,2.1754334,0.9835184681422074,2.0324336493338113,1.1919149318577928,0.14299975066618886
aus_cue_2007,AUS,2007,2006,FALSE,2.4743911,1.1370065668238367,2.1859217480154403,1.3373845331761633,0.2884693519845598
aus_cue_2007,AUS,2007,2007,TRUE,2.032488,0.7681404112946948,1.8170555924862986,1.264347588705305,0.2154324075137013
aus_cue_2007,AUS,2007,2008,TRUE,2.0957540999999997,0.7900229199989081,1.8389381011905117,1.3057311800010916,0.256815998809488
aus_cue_2007,AUS,2007,2009,TRUE,1.9030363000000001,0.7579539854383802,1.8068691666299839,1.1450823145616198,0.09616713337001626
aus_cue_2007,AUS,2007,2010,TRUE,2.1690057,0.9261842893973102,1.975099470588914,1.2428214106026898,0.19390622941108604
aus_cue_2007,AUS,2007,2011,TRUE,2.042198,0.8566167726009508,1.9055319537925546,1.1855812273990491,0.13666604620744538
aus_cue_2007,AUS,2007,2012,TRUE,2.1721207,0.9590304847359332,2.007945665927537,1.2130902152640666,0.1641750340724628
aus_cue_2007,AUS,2007,2013,TRUE,1.8587908,0.6654565886038429,1.7143717697954468,1.1933342113961571,0.14441903020455316
aus_cue_2007,AUS,2007,2014,TRUE,2.2598294,0.8797489677915913,1.928664148983195,1.3800804322084088,0.33116525101680505
aus_cue_2007,AUS,2007,2015,TRUE,1.4551872,0.6083869235470241,1.6573021047386278,0.8468002764529758,-0.20211490473862792
aus_cue_2007,AUS,2007,2016,TRUE,1.7279279,0.6150595497019097,1.6639747308935133,1.1128683502980903,0.06395316910648674
aus_cue_2007,AUS,2007,2017,TRUE,1.5878252,0.6268525390282733,1.675767720219877,0.9609726609717266,-0.08794252021987714
aus_cue_2007,AUS,2007,2018,TRUE,1.9675326,0.7205736143894178,1.7694887955810215,1.2469589856105823,0.1980438044189785
aus_cue_2007,AUS,2007,2019,TRUE,1.7966744000000001,0.6149831129364335,1.6638982941280371,1.1816912870635665,0.13277610587196298
aus_cue_2007,AUS,2007,2020,TRUE,1.9713844000000003,0.7686524152072469,1.8175675963988507,1.2027319847927533,0.15381680360114958
aus_cue_2007,AUS,2007,2021,TRUE,1.6829271,0.5354454783582752,1.584360659549879,1.1474816216417247,0.09856644045012097
aus_cue_2007,AUS,2007,2022,TRUE,2.470431,1.2621149722955074,2.311030153487111,1.2083160277044926,0.15940084651288888
