fit_id,iso3c,country_name,fit_role,n_years,first_year,last_year,exact_common_grid,outcome_complete,rank_complete,ever_china_top,complete_common_panel
aus_cue_2007,MMR,Myanmar (Burma),excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,MNG,Mongolia,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,MOZ,Mozambique,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,MYS,Malaysia,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,NZL,New Zealand,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,OMN,Oman,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,PAN,Panama,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,PER,Peru,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,PHL,Philippines,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,PNG,Papua New Guinea,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,PRK,North Korea,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,QAT,Qatar,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,RUS,Russia,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,SAU,Saudi Arabia,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,SDN,Sudan,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,SLB,Solomon Islands,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,SLE,Sierra Leone,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,TCD,Chad,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,THA,Thailand,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,TKM,Turkmenistan,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,TZA,Tanzania,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,UKR,Ukraine,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,URY,Uruguay,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,VNM,Vietnam,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,YEM,Yemen,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,ZAF,South Africa,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,ZMB,Zambia,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,ZWE,Zimbabwe,excluded_ever_china_top_in_window,26,1997,2022,TRUE,TRUE,TRUE,TRUE,TRUE
aus_cue_2007,BDI,Burundi,excluded_incomplete_common_panel,25,1997,2022,FALSE,TRUE,TRUE,FALSE,FALSE
aus_cue_2007,BEL,Belgium,excluded_incomplete_common_panel,26,1997,2022,TRUE,TRUE,FALSE,FALSE,FALSE
aus_cue_2007,BIH,Bosnia & Herzegovina,excluded_incomplete_common_panel,24,1999,2022,FALSE,TRUE,TRUE,FALSE,FALSE
aus_cue_2007,CAF,Central African Republic,excluded_incomplete_common_panel,21,1998,2022,FALSE,TRUE,TRUE,TRUE,FALSE
aus_cue_2007,CHE,Switzerland,excluded_incomplete_common_panel,21,2002,2022,FALSE,TRUE,TRUE,FALSE,FALSE
