iso3c,country_name,original_year,m2_full_year,original_ever,m2_full_ever,status_original,status_m2_full,change_type
CIV,Côte d’Ivoire,,,FALSE,FALSE,never_observed,never_observed,no_change
DNK,Denmark,,,FALSE,FALSE,never_observed,never_observed,no_change
DJI,Djibouti,,,FALSE,FALSE,never_observed,never_observed,no_change
DMA,Dominica,,,FALSE,FALSE,never_observed,never_observed,no_change
DOM,Dominican Republic,,,FALSE,FALSE,never_observed,never_observed,no_change
ECU,Ecuador,,,FALSE,FALSE,never_observed,never_observed,no_change
EGY,Egypt,,,FALSE,FALSE,never_observed,never_observed,no_change
SLV,El Salvador,,,FALSE,FALSE,never_observed,never_observed,no_change
GNQ,Equatorial Guinea,2006,2006,TRUE,TRUE,observed_entry,observed_entry,no_change
ERI,Eritrea,2014,2014,TRUE,TRUE,observed_entry,observed_entry,no_change
EST,Estonia,,,FALSE,FALSE,never_observed,never_observed,no_change
SWZ,Eswatini,,,FALSE,FALSE,never_observed,never_observed,no_change
ETH,Ethiopia,2009,2009,TRUE,TRUE,observed_entry,observed_entry,no_change
FJI,Fiji,,,FALSE,FALSE,never_observed,never_observed,no_change
FIN,Finland,,,FALSE,FALSE,never_observed,never_observed,no_change
FRA,France,,,FALSE,FALSE,never_observed,never_observed,no_change
GAB,Gabon,2017,2017,TRUE,TRUE,observed_entry,observed_entry,no_change
GMB,Gambia,2011,2011,TRUE,TRUE,observed_entry,observed_entry,no_change
GEO,Georgia,,,FALSE,FALSE,never_observed,never_observed,no_change
DEU,Germany,,,FALSE,FALSE,never_observed,never_observed,no_change
GHA,Ghana,2019,2019,TRUE,TRUE,observed_entry,observed_entry,no_change
GRC,Greece,,,FALSE,FALSE,never_observed,never_observed,no_change
GRD,Grenada,,,FALSE,FALSE,never_observed,never_observed,no_change
GTM,Guatemala,,,FALSE,FALSE,never_observed,never_observed,no_change
GIN,Guinea,2019,2019,TRUE,TRUE,observed_entry,observed_entry,no_change
GNB,Guinea-Bissau,,,FALSE,FALSE,never_observed,never_observed,no_change
GUY,Guyana,,,FALSE,FALSE,never_observed,never_observed,no_change
HTI,Haiti,,,FALSE,FALSE,never_observed,never_observed,no_change
HND,Honduras,,,FALSE,FALSE,never_observed,never_observed,no_change
HUN,Hungary,,,FALSE,FALSE,never_observed,never_observed,no_change
ISL,Iceland,,,FALSE,FALSE,never_observed,never_observed,no_change
IND,India,,,FALSE,FALSE,never_observed,never_observed,no_change
IDN,Indonesia,2013,2013,TRUE,TRUE,observed_entry,observed_entry,no_change
IRN,Iran,2007,2007,TRUE,TRUE,observed_entry,observed_entry,no_change
IRQ,Iraq,2014,2014,TRUE,TRUE,observed_entry,observed_entry,no_change
IRL,Ireland,,,FALSE,FALSE,never_observed,never_observed,no_change
ISR,Israel,,,FALSE,FALSE,never_observed,never_observed,no_change
ITA,Italy,,,FALSE,FALSE,never_observed,never_observed,no_change
JAM,Jamaica,,,FALSE,FALSE,never_observed,never_observed,no_change
JOR,Jordan,,,FALSE,FALSE,never_observed,never_observed,no_change
KAZ,Kazakhstan,1992,1992,TRUE,TRUE,left_censored_first_observed,left_censored_first_observed,no_change
KEN,Kenya,,,FALSE,FALSE,never_observed,never_observed,no_change
KIR,Kiribati,,,FALSE,FALSE,never_observed,never_observed,no_change
KWT,Kuwait,2018,2018,TRUE,TRUE,observed_entry,observed_entry,no_change
KGZ,Kyrgyzstan,1992,1992,TRUE,TRUE,left_censored_first_observed,left_censored_first_observed,no_change
LAO,Laos,2003,2003,TRUE,TRUE,observed_entry,observed_entry,no_change
LVA,Latvia,,,FALSE,FALSE,never_observed,never_observed,no_change
LBN,Lebanon,,,FALSE,FALSE,never_observed,never_observed,no_change
LSO,Lesotho,,,FALSE,FALSE,never_observed,never_observed,no_change
LBR,Liberia,2012,2012,TRUE,TRUE,observed_entry,observed_entry,no_change
LBY,Libya,,,FALSE,FALSE,never_observed,never_observed,no_change
LIE,Liechtenstein,,,FALSE,,never_observed,,no_change
LTU,Lithuania,,,FALSE,FALSE,never_observed,never_observed,no_change
LUX,Luxembourg,,,FALSE,FALSE,never_observed,never_observed,no_change
MDG,Madagascar,,,FALSE,FALSE,never_observed,never_observed,no_change
MWI,Malawi,,,FALSE,FALSE,never_observed,never_observed,no_change
MYS,Malaysia,2009,2009,TRUE,TRUE,observed_entry,observed_entry,no_change
MDV,Maldives,,,FALSE,FALSE,never_observed,never_observed,no_change
MLI,Mali,1991,1991,TRUE,TRUE,observed_entry,observed_entry,no_change
MHL,Marshall Islands,,,FALSE,FALSE,never_observed,never_observed,no_change
MRT,Mauritania,2006,2006,TRUE,TRUE,observed_entry,observed_entry,no_change
MUS,Mauritius,,,FALSE,FALSE,never_observed,never_observed,no_change
MEX,Mexico,,,FALSE,FALSE,never_observed,never_observed,no_change
FSM,Micronesia (Federated States of),,,FALSE,FALSE,never_observed,never_observed,no_change
MDA,Moldova,,,FALSE,FALSE,never_observed,never_observed,no_change
MCO,Monaco,,,FALSE,FALSE,never_observed,never_observed,no_change
MNG,Mongolia,1993,1993,TRUE,TRUE,observed_entry,observed_entry,no_change
MNE,Montenegro,,,FALSE,FALSE,never_observed,never_observed,no_change
MAR,Morocco,,,FALSE,FALSE,never_observed,never_observed,no_change
MOZ,Mozambique,2014,2014,TRUE,TRUE,observed_entry,observed_entry,no_change
MMR,Myanmar (Burma),1993,1993,TRUE,TRUE,observed_entry,observed_entry,no_change
NAM,Namibia,,,FALSE,FALSE,never_observed,never_observed,no_change
NRU,Nauru,,,FALSE,FALSE,never_observed,never_observed,no_change
